YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
93,2019,10,US-Total,Total Electric Power Industry,Petroleum,"1,150,623"
94,2019,11,US-Total,Total Electric Power Industry,Petroleum,"1,240,050"
95,2019,12,US-Total,Total Electric Power Industry,Petroleum,"1,459,272"
96,2020,1,US-Total,Total Electric Power Industry,Petroleum,"1,548,373"
97,2020,2,US-Total,Total Electric Power Industry,Petroleum,"1,289,148"
98,2020,3,US-Total,Total Electric Power Industry,Petroleum,"1,395,139"
99,2020,4,US-Total,Total Electric Power Industry,Petroleum,"1,239,419"
100,2020,5,US-Total,Total Electric Power Industry,Petroleum,"1,301,418"
101,2020,6,US-Total,Total Electric Power Industry,Petroleum,"1,618,276"
102,2020,7,US-Total,Total Electric Power Industry,Petroleum,"1,751,327"
103,2020,8,US-Total,Total Electric Power Industry,Petroleum,"1,674,322"
104,2020,9,US-Total,Total Electric Power Industry,Petroleum,"1,194,016"
105,2020,10,US-Total,Total Electric Power Industry,Petroleum,"1,227,145"
106,2020,11,US-Total,Total Electric Power Industry,Petroleum,"1,411,539"
107,2020,12,US-Total,Total Electric Power Industry,Petroleum,"1,690,894"
108,2021,1,US-Total,Total Electric Power Industry,Petroleum,"1,602,822"
109,2021,2,US-Total,Total Electric Power Industry,Petroleum,"2,407,593"
110,2021,3,US-Total,Total Electric Power Industry,Petroleum,"1,435,501"
111,2021,4,US-Total,Total Electric Power Industry,Petroleum,"1,145,195"
112,2021,5,US-Total,Total Electric Power Industry,Petroleum,"1,312,431"
113,2021,6,US-Total,Total Electric Power Industry,Petroleum,"1,306,498"
114,2021,7,US-Total,Total Electric Power Industry,Petroleum,"1,511,515"
115,2021,8,US-Total,Total Electric Power Industry,Petroleum,"1,916,370"
116,2021,9,US-Total,Total Electric Power Industry,Petroleum,"1,546,441"
117,2021,10,US-Total,Total Electric Power Industry,Petroleum,"1,498,000"
118,2021,11,US-Total,Total Electric Power Industry,Petroleum,"1,622,572"
119,2021,12,US-Total,Total Electric Power Industry,Petroleum,"1,476,845"
120,2022,1,US-Total,Total Electric Power Industry,Petroleum,"3,784,942"
121,2022,2,US-Total,Total Electric Power Industry,Petroleum,"1,604,619"
122,2022,3,US-Total,Total Electric Power Industry,Petroleum,"1,422,594"
123,2022,4,US-Total,Total Electric Power Industry,Petroleum,"1,237,486"
124,2022,5,US-Total,Total Electric Power Industry,Petroleum,"1,524,488"
125,2022,6,US-Total,Total Electric Power Industry,Petroleum,"1,573,751"
